AM62P:

| Size          | Accelerator | ARM CE   | ARM     |
|---------------|-------------|----------|---------|
| 16 bytes      | 0.43        | 97.37    | 31.46   |
| 64 bytes      | 1.88        | 304.29   | 39.87   |
| 256 bytes     | 7.18        | 636.54   | 42.97   |
| 1024 bytes    | 23.80       | 897.51   | 43.82   |
| 8192 bytes    | 71.31       | 1018.75  | 44.05   |
| 16384 bytes   | 83.60       | 1028.48  | 43.99   |
| CPU Usage %   | 34%         | 99%      | 99%     |

AM62LP:

| Size          | Accelerator | ARM CE  | ARM     |
|---------------|-------------|---------|---------|
| 16 bytes      | 0.35        | 86.84   | 28.08   |
| 64 bytes      | 1.42        | 271.37  | 35.58   |
| 256 bytes     | 5.67        | 568.16  | 38.34   |
| 1024 bytes    | 22.14       | 800.82  | 39.10   |
| 8192 bytes    | 89.77       | 908.75  | 39.33   |
| 16384 bytes   | 115.78      | 916.20  | 39.34   |
| CPU Usage %   | 38%         | 99%     | 99%     |

AM62X:

| Size          | Accelerator | ARM CE   | ARM     |
|---------------|-------------|----------|---------|
| 16 bytes      | 0.38        | 95.83    | 31.06   |
| 64 bytes      | 1.60        | 300.27   | 39.69   |
| 256 bytes     | 6.08        | 632.25   | 42.89   |
| 1024 bytes    | 23.90       | 895.17   | 43.74   |
| 8192 bytes    | 93.02       | 1018.16  | 44.04   |
| 16384 bytes   | 117.17      | 1028.05  | 44.03   |
| CPU Usage %   | 38%         | 99%      | 99%     |

AM64X:

| Size          | Accelerator | ARM CE  | ARM     |
|---------------|-------------|---------|---------|
| 16 bytes      | 0.34        | 69.43   | 22.18   |
| 64 bytes      | 1.51        | 217.04  | 28.34   |
| 256 bytes     | 5.99        | 454.25  | 30.63   |
| 1024 bytes    | 21.92       | 640.51  | 31.25   |
| 8192 bytes    | 97.97       | 726.61  | 31.44   |
| 16384 bytes   | 134.93      | 727.48  | 31.44   |
| CPU Usage %   | 39%         | 99%     | 99%     |

AM62L:

| Size          | Accelerator | ARM CE  | ARM     |
|---------------|-------------|---------|---------|
| 16 bytes      | 0.28        | 86.86   | 28.02   |
| 64 bytes      | 1.16        | 271.43  | 35.57   |
| 256 bytes     | 4.63        | 568.25  | 38.33   |
| 1024 bytes    | 17.15       | 800.83  | 39.08   |
| 8192 bytes    | 82.06       | 908.72  | 39.31   |
| 16384 bytes   | 112.48      | 917.23  | 39.32   |
| CPU Usage %   | 18%         | 99%     | 99%     |
